Character,Unicode,Type,StrokeCount,Radical,CurrentIDS,Structure,Semantic,Phonetic,Notes
󰎖,U+F0396,nom,20,白,,,,,
󰎸,U+F03B8,nom,20,目,,,,,
󰏾,U+F03FE,nom,20,穴,,,,,
󰐛,U+F041B,nom,20,竹,,,,,
󰐠,U+F0420,nom,20,竹,,,,,
󰑻,U+F047B,nom,20,缶,,,,,
󰓁,U+F04C1,nom,20,肉,,,,,
󰓂,U+F04C2,nom,20,肉,,,,,
󰓃,U+F04C3,nom,20,肉,,,,,
󰓇,U+F04C7,nom,20,肉,,,,,
󰔪,U+F052A,nom,20,行,,,,,
󰔹,U+F0539,nom,20,衣,,,,,
󰖊,U+F058A,nom,20,足,,,,,
󰖍,U+F058D,nom,20,足,,,,,
󰖐,U+F0590,nom,20,足,,,,,
󰖻,U+F05BB,nom,20,酉,,,,,
󰗳,U+F05F3,nom,20,金,,,,,
󰗴,U+F05F4,nom,20,金,,,,,
󰗼,U+F05FC,nom,20,長,,,,,
󰘎,U+F060E,nom,20,阜,,,,,
󰙈,U+F0648,nom,20,骨,,,,,
󰙬,U+F066C,nom,20,魚,,,,,
󰙱,U+F0671,nom,20,魚,,,,,
󰙲,U+F0672,nom,20,魚,,,,,
󰚞,U+F069E,nom,20,鳥,,,,,
󰚠,U+F06A0,nom,20,鳥,,,,,
󰚩,U+F06A9,nom,20,鳥,,,,,
󰚸,U+F06B8,nom,20,卤,,,,,
󰛋,U+F06CB,nom,20,齿,,,,,
󰣆,U+F08C6,nom,20,里,,,,,
󰬴,U+F0B34,nom,20,尸,,,,,
󰷿,U+F0DFF,nom,20,水,,,,,
󰽎,U+F0F4E,nom,20,糸,,,,,
󱅇,U+F1147,nom,20,首,,,,,
󱆄,U+F1184,nom,20,鼔,,,,,
󱉭,U+F126D,nom,20,十,,,,,
𱕫,U+3156B,nom,21,口,,,,,
𱼥,U+31F25,nom,21,肉,,,,,
𲄋,U+3210B,nom,21,足,,,,,
𲄌,U+3210C,nom,21,足,,,,,
𲉯,U+3226F,nom,21,隹,,,,,
𲋒,U+322D2,nom,21,飛,,,,,
𲌀,U+32300,nom,21,馬,,,,,
󰃳,U+F00F3,nom,21,口,,,,,
󰄔,U+F0114,nom,21,土,,,,,
󰅁,U+F0141,nom,21,寸,,,,,
󰅷,U+F0177,nom,21,己,,,,,
󰇙,U+F01D9,nom,21,心,,,,,
󰉅,U+F0245,nom,21,手,,,,,
󰉆,U+F0246,nom,21,手,,,,,
󰉔,U+F0254,nom,21,方,,,,,
󰌃,U+F0303,nom,21,水,,,,,
󰌰,U+F0330,nom,21,火,,,,,
󰎹,U+F03B9,nom,21,目,,,,,
󰎺,U+F03BA,nom,21,目,,,,,
󰏖,U+F03D6,nom,21,麻,,,,,
󰐣,U+F0423,nom,21,竹,,,,,
󰓅,U+F04C5,nom,21,肉,,,,,
󰓑,U+F04D1,nom,21,色,,,,,
󰔢,U+F0522,nom,21,虫,,,,,
󰔣,U+F0523,nom,21,虫,,,,,
󰔤,U+F0524,nom,21,虫,,,,,
󰔩,U+F0529,nom,21,血,,,,,
󰕲,U+F0572,nom,21,走,,,,,
󰗱,U+F05F1,nom,21,金,,,,,
󰗶,U+F05F6,nom,21,金,,,,,
󰗹,U+F05F9,nom,21,金,,,,,
󰘏,U+F060F,nom,21,阜,,,,,
󰘱,U+F0631,nom,21,飛,,,,,
󰘽,U+F063D,nom,21,食,,,,,
󰙎,U+F064E,nom,21,髟,,,,,
󰙖,U+F0656,nom,21,鬼,,,,,
󰙵,U+F0675,nom,21,魚,,,,,
󰙷,U+F0677,nom,21,魚,,,,,
󰙸,U+F0678,nom,21,魚,,,,,
󰙻,U+F067B,nom,21,魚,,,,,
󰙼,U+F067C,nom,21,魚,,,,,
󰚣,U+F06A3,nom,21,鳥,,,,,
󰚺,U+F06BA,nom,21,鹿,,,,,
󰚽,U+F06BD,nom,21,黑,,,,,
󰛒,U+F06D2,nom,21,鳥,,,,,
󰮁,U+F0B81,nom,21,水,,,,,
󰷻,U+F0DFB,nom,21,水,,,,,
󰽨,U+F0F68,nom,21,羊,,,,,
󱃎,U+F10CE,nom,21,辵,,,,,
𱙀,U+31640,nom,22,大,,,,,
𱸰,U+31E30,nom,22,竹,,,,,
𱻥,U+31EE5,nom,22,羽,,,,,
𱿂,U+31FC2,nom,22,艹,,,,,
𱿆,U+31FC6,nom,22,艸,,,,,
𲄎,U+3210E,nom,22,足,,,,,
𲋊,U+322CA,nom,22,風,,,,,
𲌽,U+3233D,nom,22,魚,,,,,
󰃱,U+F00F1,nom,22,口,,,,,
󰃴,U+F00F4,nom,22,口,,,,,
󰉹,U+F0279,nom,22,日,,,,,
󰉺,U+F027A,nom,22,日,,,,,
󰊅,U+F0285,nom,22,月,,,,,
󰊶,U+F02B6,nom,22,木,,,,,
󰊷,U+F02B7,nom,22,木,,,,,
󰑯,U+F046F,nom,22,糸,,,,,
󰓋,U+F04CB,nom,22,舟,,,,,
󰔞,U+F051E,nom,22,虫,,,,,
󰕙,U+F0559,nom,22,言,,,,,
󰕱,U+F0571,nom,22,走,,,,,
󰖑,U+F0591,nom,22,足,,,,,
󰖓,U+F0593,nom,22,足,,,,,
󰖕,U+F0595,nom,22,足,,,,,
󰖗,U+F0597,nom,22,足,,,,,
󰙏,U+F064F,nom,22,髟,,,,,
󰙿,U+F067F,nom,22,魚,,,,,
󰚀,U+F0680,nom,22,魚,,,,,
󰚁,U+F0681,nom,22,魚,,,,,
󰚡,U+F06A1,nom,22,鳥,,,,,
󰚨,U+F06A8,nom,22,鳥,,,,,
󰛓,U+F06D3,nom,22,鳥,,,,,
󰛘,U+F06D8,nom,22,竹,,,,,
󰩻,U+F0A7B,nom,22,矢,,,,,
󰸂,U+F0E02,nom,22,水,,,,,
󰾵,U+F0FB5,nom,22,肉,,,,,
󱅤,U+F1164,nom,22,髟,,,,,
󱋵,U+F12F5,nom,22,口,,,,,
𱳚,U+31CDA,nom,23,目,,,,,
𱶭,U+31DAD,nom,23,禾,,,,,
𱿈,U+31FC8,nom,23,艹,,,,,
𲂷,U+320B7,nom,23,貝,,,,,
𲊠,U+322A0,nom,23,革,,,,,
𲌔,U+32314,nom,23,骨,,,,,
𲎣,U+323A3,nom,23,齒,,,,,
󰎻,U+F03BB,nom,23,目,,,,,
󰐹,U+F0439,nom,23,米,,,,,
󰑱,U+F0471,nom,23,糸,,,,,
󰗸,U+F05F8,nom,23,金,,,,,
󰘘,U+F0618,nom,23,青,,,,,
󰚫,U+F06AB,nom,23,鳥,,,,,
󰚭,U+F06AD,nom,23,鳥,,,,,
󰶤,U+F0DA4,nom,23,殳,,,,,
󱂒,U+F1092,nom,23,車,,,,,
󱄎,U+F110E,nom,23,雨,,,,,
𱕷,U+31577,nom,24,口,,,,,
𱜝,U+3171D,nom,24,工,,,,,
𱢽,U+318BD,nom,24,月,,,,,
𱲢,U+31CA2,nom,24,皿,,,,,
𲄱,U+32131,nom,24,身,,,,,
󰇚,U+F01DA,nom,24,心,,,,,
󰊸,U+F02B8,nom,24,木,,,,,
󰎐,U+F0390,nom,24,疒,,,,,
󰐤,U+F0424,nom,24,竹,,,,,
󰐥,U+F0425,nom,24,竹,,,,,
󰔥,U+F0525,nom,24,虫,,,,,
󰗺,U+F05FA,nom,24,金,,,,,
󰘞,U+F061E,nom,24,革,,,,,
󰘠,U+F0620,nom,24,韋,,,,,
󰘿,U+F063F,nom,24,首,,,,,
󰚄,U+F0684,nom,24,魚,,,,,
󰚅,U+F0685,nom,24,魚,,,,,
󰚆,U+F0686,nom,24,魚,,,,,
󱀤,U+F1024,nom,24,虫,,,,,
󰍝,U+F035D,nom,25,犬,,,,,
󰎑,U+F0391,nom,25,疒,,,,,
󰔦,U+F0526,nom,25,虫,,,,,
󰚰,U+F06B0,nom,25,鳥,,,,,
𱟚,U+317DA,nom,26,心,,,,,
𱿌,U+31FCC,nom,26,艹,,,,,
󰌆,U+F0306,nom,26,水,,,,,
󰎝,U+F039D,nom,26,皿,,,,,
󰕈,U+F0548,nom,26,角,,,,,
󰚱,U+F06B1,nom,26,鳥,,,,,
󰚿,U+F06BF,nom,26,黑,,,,,
󱀦,U+F1026,nom,26,虫,,,,,
󰃷,U+F00F7,nom,27,口,,,,,
󰙑,U+F0651,nom,27,髟,,,,,
󰚇,U+F0687,nom,27,魚,,,,,
󰚈,U+F0688,nom,27,魚,,,,,
󰄦,U+F0126,nom,28,大,,,,,
󰒚,U+F049A,nom,28,耳,,,,,
󰚲,U+F06B2,nom,29,鳥,,,,,
󰡼,U+F087C,nom,31,雨,,,,,
󰜥,U+F0725,nom,32,尸,,,,,
󰚳,U+F06B3,nom,34,鳥,,,,,
𫜹,U+2B739,both,3,彐,,,,,
囗,U+56D7,both,3,囗,,,,,
夂,U+5902,both,3,夂,,,,,
夊,U+590A,both,3,夂,,,,,
孓,U+5B53,both,3,子,,,,,
宀,U+5B80,both,3,宀,,,,,
尢,U+5C22,both,3,尢,,,,,
尸,U+5C38,both,3,尸,,,,,
广,U+5E7F,both,3,广,,,,,
彐,U+5F50,both,3,彐,,,,,
彑,U+5F51,both,3,彐,,,,,
彡,U+5F61,both,3,彡,,,,,
彳,U+5F73,both,3,彳,,,,,
飞,U+98DE,both,3,飞,,,,,
𲋄,U+322C4,both,4,𲋄,,,,,
丏,U+4E0F,both,4,一,,,,,
攵,U+6535,both,4,攵,,,,,
爪,U+722A,both,4,爫,,,,,
爿,U+723F,both,4,爿,,,,,
丱,U+4E31,both,5,丨,,,,,
册,U+518C,both,5,冂,,,,,
卌,U+534C,both,5,十,,,,,
戉,U+6209,both,5,戈,,,,,
疋,U+758B,both,5,疋,,,,,
疒,U+7592,both,5,疒,,,,,
皿,U+76BF,both,5,皿,,,,,
罒,U+7F52,both,5,罒,,,,,
缶,U+7F36,both,6,缶,,,,,
襾,U+897E,both,6,覀,,,,,
隶,U+96B6,both,8,隶,,,,,
隹,U+96B9,both,8,隹,,,,,
𱑏,U+3144F,both,11,十,,,,,
󰔄,U+F0504,both,13,虍,,,,,
黽,U+9EFD,both,13,黽,,,,,
𱀠,U+31020,both,14,彐,,,,,
󰏲,U+F03F2,both,15,禾,,,,,
󱃧,U+F10E7,both,18,金,,,,,
󰛌,U+F06CC,both,28,龍,,,,,
